Date,Power-1,solarRad_W/m2,temp_C,Hour,DayOfWeek,Day_Night,sin_hour,cos_hour,sin_dayofweek,Month,Power-2,Delta_Power,Power-3,Power-24
2019-03-18 09:00:00,281.961,511.25,12.5,9,0,1,0.7071067811865476,-0.7071067811865475,0.0,3,158.635,123.32600000000002,115.495,121.935
2019-03-18 10:00:00,243.881,663.1,13.359166666666669,10,0,1,0.49999999999999994,-0.8660254037844387,0.0,3,281.961,-38.08000000000001,158.635,121.038
2019-03-18 11:00:00,305.494,765.6666666666666,14.016666666666666,11,0,1,0.258819045102521,-0.9659258262890682,0.0,3,243.881,61.61300000000003,281.961,124.235
2019-03-18 12:00:00,324.576,808.5833333333334,14.963333333333331,12,0,1,1.2246467991473532e-16,-1.0,0.0,3,305.494,19.081999999999994,243.881,124.66
2019-03-18 13:00:00,318.025,793.9166666666666,16.63083333333333,13,0,1,-0.2588190451025208,-0.9659258262890683,0.0,3,324.576,-6.551000000000045,305.494,126.017
2019-03-18 14:00:00,315.441,718.5333333333333,17.513333333333332,14,0,1,-0.4999999999999997,-0.8660254037844388,0.0,3,318.025,-2.584000000000003,324.576,122.314
2019-03-18 15:00:00,319.543,583.4083333333333,18.17833333333333,15,0,1,-0.7071067811865471,-0.7071067811865479,0.0,3,315.441,4.102000000000032,318.025,123.364
2019-03-18 16:00:00,326.991,407.0333333333333,18.309166666666663,16,0,1,-0.8660254037844384,-0.5000000000000004,0.0,3,319.543,7.447999999999979,315.441,124.967
2019-03-18 17:00:00,328.229,203.15833333333333,16.805,17,0,1,-0.9659258262890683,-0.25881904510252063,0.0,3,326.991,1.2379999999999995,319.543,127.734
2019-03-18 18:00:00,310.972,35.3705,14.82,18,0,1,-1.0,-1.8369701987210297e-16,0.0,3,328.229,-17.257000000000005,326.991,131.794
2019-03-18 19:00:00,288.462,1.1098333333333332,13.479166666666666,19,0,1,-0.9659258262890684,0.2588190451025203,0.0,3,310.972,-22.50999999999999,328.229,124.963
2019-03-18 20:00:00,210.764,0.9138333333333332,12.946666666666664,20,0,1,-0.8660254037844386,0.5000000000000001,0.0,3,288.462,-77.69799999999998,310.972,122.851
2019-03-18 21:00:00,165.727,0.8929999999999999,12.293333333333337,21,0,0,-0.7071067811865477,0.7071067811865474,0.0,3,210.764,-45.037000000000006,288.462,120.785
2019-03-18 22:00:00,130.008,1.041,11.945,22,0,0,-0.5000000000000004,0.8660254037844384,0.0,3,165.727,-35.718999999999994,210.764,116.717
2019-03-18 23:00:00,128.823,1.1634166666666668,12.06,23,0,0,-0.25881904510252157,0.9659258262890681,0.0,3,130.008,-1.1850000000000023,165.727,110.093
2019-03-19 00:00:00,120.965,1.1124166666666666,12.241666666666667,0,1,0,0.0,1.0,0.7818314824680298,3,128.823,-7.858000000000004,130.008,116.323
2019-03-19 01:00:00,121.712,0.8675833333333333,12.265833333333331,1,1,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,3,120.965,0.7469999999999999,128.823,110.339
2019-03-19 02:00:00,116.625,0.7778333333333333,12.219166666666666,2,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,3,121.712,-5.087000000000003,120.965,109.139
