Date,Power_kW
2019-01-08 21:00:00,108.215
2019-01-08 22:00:00,112.934
2019-01-08 23:00:00,104.55
2019-01-09 00:00:00,92.786
2019-01-09 01:00:00,95.523
2019-01-09 02:00:00,94.492
2019-01-09 03:00:00,95.661
2019-01-09 04:00:00,95.922
2019-01-09 05:00:00,93.947
2019-01-09 06:00:00,98.421
2019-01-09 07:00:00,93.798
2019-01-09 08:00:00,97.493
2019-01-09 09:00:00,90.08
2019-01-09 10:00:00,96.884
2019-01-09 11:00:00,100.372
2019-01-09 12:00:00,96.033
2019-01-09 13:00:00,99.333
2019-01-09 14:00:00,95.561
2019-01-09 15:00:00,98.777
2019-01-09 16:00:00,96.83
2019-01-09 17:00:00,97.428
2019-01-09 18:00:00,100.579
2019-01-09 19:00:00,95.166
2019-01-09 20:00:00,98.467
2019-01-09 21:00:00,94.335
2019-01-09 22:00:00,94.365
2019-01-09 23:00:00,96.01
2019-01-10 00:00:00,117.733
2019-01-10 01:00:00,108.075
2019-01-10 02:00:00,112.416
2019-01-10 03:00:00,106.732
2019-01-10 04:00:00,111.404
2019-01-10 05:00:00,109.771
2019-01-10 06:00:00,128.371
2019-01-10 07:00:00,411.236
2019-01-10 08:00:00,362.104
2019-01-10 09:00:00,390.479
2019-01-10 10:00:00,453.085
2019-01-10 11:00:00,477.216
2019-01-10 12:00:00,488.286
2019-01-10 13:00:00,504.785
2019-01-10 14:00:00,552.529
2019-01-10 15:00:00,515.127
2019-01-10 16:00:00,557.823
2019-01-10 17:00:00,528.095
2019-01-10 18:00:00,455.599
2019-01-10 19:00:00,233.274
2019-01-10 20:00:00,148.676
2019-01-10 21:00:00,123.322
2019-01-10 22:00:00,109.196
2019-01-10 23:00:00,109.2
2019-01-11 00:00:00,107.932
2019-01-11 01:00:00,105.032
2019-01-11 02:00:00,105.237
2019-01-11 03:00:00,104.117
2019-01-11 04:00:00,107.839
2019-01-11 05:00:00,104.101
2019-01-11 06:00:00,230.904
2019-01-11 07:00:00,203.026
2019-01-11 08:00:00,190.582
2019-01-11 09:00:00,173.741
2019-01-11 10:00:00,126.112
2019-01-11 11:00:00,130.169
2019-01-11 12:00:00,127.005
2019-01-11 13:00:00,128.443
2019-01-11 14:00:00,127.916
2019-01-11 15:00:00,131.264
2019-01-11 16:00:00,127.707
2019-01-11 17:00:00,132.147
2019-01-11 18:00:00,127.093
2019-01-11 19:00:00,116.256
2019-01-11 20:00:00,110.053
2019-01-11 21:00:00,105.455
2019-01-11 22:00:00,107.87
2019-01-11 23:00:00,103.211
2019-01-12 00:00:00,101.171
2019-01-12 01:00:00,100.991
2019-01-12 02:00:00,98.453
2019-01-12 03:00:00,98.938
2019-01-12 04:00:00,101.973
2019-01-12 05:00:00,97.535
2019-01-12 06:00:00,98.664
2019-01-12 07:00:00,104.107
2019-01-12 08:00:00,99.225
2019-01-12 09:00:00,97.973
2019-01-12 10:00:00,106.693
2019-01-12 11:00:00,100.643
2019-01-12 12:00:00,100.291
2019-01-12 13:00:00,104.048
2019-01-12 14:00:00,101.538
2019-01-12 15:00:00,100.185
2019-01-12 16:00:00,106.279
2019-01-12 17:00:00,98.598
2019-01-12 18:00:00,99.106
2019-01-12 19:00:00,100.145
2019-01-12 20:00:00,103.989
2019-01-12 21:00:00,97.191
2019-01-12 22:00:00,99.225
2019-01-12 23:00:00,100.029
2019-01-13 00:00:00,99.828
2019-01-13 01:00:00,97.938
2019-01-13 02:00:00,101.342
2019-01-13 03:00:00,99.13
2019-01-13 04:00:00,97.773
2019-01-13 05:00:00,99.421
2019-01-13 06:00:00,100.629
2019-01-13 07:00:00,100.085
2019-01-13 08:00:00,101.76
2019-01-13 09:00:00,105.083
2019-01-13 10:00:00,105.156
2019-01-13 11:00:00,107.537
2019-01-13 12:00:00,107.885
2019-01-13 13:00:00,109.373
2019-01-13 14:00:00,105.773
2019-01-13 15:00:00,104.773
2019-01-13 16:00:00,104.497
2019-01-13 17:00:00,111.094
2019-01-13 18:00:00,105.559
2019-01-13 19:00:00,105.263
2019-01-13 20:00:00,104.619
2019-01-13 21:00:00,109.852
2019-01-13 22:00:00,103.032
2019-01-13 23:00:00,100.617
2019-01-14 00:00:00,104.343
2019-01-14 01:00:00,101.641
2019-01-14 02:00:00,102.776
2019-01-14 03:00:00,100.119
2019-01-14 04:00:00,104.317
2019-01-14 05:00:00,102.756
2019-01-14 06:00:00,110.289
2019-01-14 07:00:00,159.908
2019-01-14 08:00:00,206.337
2019-01-14 09:00:00,234.132
2019-01-14 10:00:00,263.856
2019-01-14 11:00:00,325.615
2019-01-14 12:00:00,280.451
2019-01-14 13:00:00,295.991
2019-01-14 14:00:00,304.125
2019-01-14 15:00:00,308.112
2019-01-14 16:00:00,294.829
2019-01-14 17:00:00,269.25
2019-01-14 18:00:00,226.608
2019-01-14 19:00:00,174.723
2019-01-14 20:00:00,155.469
2019-01-14 21:00:00,126.818
2019-01-14 22:00:00,112.899
2019-01-14 23:00:00,111.876
2019-01-15 00:00:00,105.547
2019-01-15 01:00:00,103.665
2019-01-15 02:00:00,106.325
2019-01-15 03:00:00,103.032
2019-01-15 04:00:00,103.305
2019-01-15 05:00:00,108.016
2019-01-15 06:00:00,110.193
2019-01-15 07:00:00,152.996
2019-01-15 08:00:00,207.307
2019-01-15 09:00:00,233.902
2019-01-15 10:00:00,272.68
2019-01-15 11:00:00,350.217
2019-01-15 12:00:00,292.871
2019-01-15 13:00:00,317.3
2019-01-15 14:00:00,305.501
2019-01-15 15:00:00,310.32
2019-01-15 16:00:00,284.119
2019-01-15 17:00:00,277.714
2019-01-15 18:00:00,236.498
2019-01-15 19:00:00,180.431
2019-01-15 20:00:00,156.235
2019-01-15 21:00:00,126.025
2019-01-15 22:00:00,108.66
2019-01-15 23:00:00,107.575
2019-01-16 00:00:00,102.212
2019-01-16 01:00:00,102.703
2019-01-16 02:00:00,105.681
2019-01-16 03:00:00,103.274
2019-01-16 04:00:00,104.021
2019-01-16 05:00:00,98.444
2019-01-16 06:00:00,110.159
2019-01-16 07:00:00,157.657
2019-01-16 08:00:00,194.484
2019-01-16 09:00:00,240.381
2019-01-16 10:00:00,272.324
2019-01-16 11:00:00,341.5
2019-01-16 12:00:00,300.783
2019-01-16 13:00:00,325.672
2019-01-16 14:00:00,295.274
2019-01-16 15:00:00,306.245
2019-01-16 16:00:00,291.019
2019-01-16 17:00:00,276.015
2019-01-16 18:00:00,232.051
2019-01-16 19:00:00,186.078
2019-01-16 20:00:00,159.965
2019-01-16 21:00:00,123.84
2019-01-16 22:00:00,114.594
2019-01-16 23:00:00,112.045
2019-01-17 00:00:00,112.712
2019-01-17 01:00:00,108.276
2019-01-17 02:00:00,107.548
2019-01-17 03:00:00,110.592
2019-01-17 04:00:00,107.207
2019-01-17 05:00:00,106.034
2019-01-17 06:00:00,115.357
2019-01-17 07:00:00,157.098
2019-01-17 08:00:00,202.047
2019-01-17 09:00:00,238.721
2019-01-17 10:00:00,269.526
2019-01-17 11:00:00,346.606
2019-01-17 12:00:00,285.645
2019-01-17 13:00:00,303.504
2019-01-17 14:00:00,301.837
2019-01-17 15:00:00,309.887
2019-01-17 16:00:00,284.652
2019-01-17 17:00:00,265.382
2019-01-17 18:00:00,232.572
2019-01-17 19:00:00,174.808
2019-01-17 20:00:00,157.979
2019-01-17 21:00:00,125.143
2019-01-17 22:00:00,115.932
2019-01-17 23:00:00,102.316
2019-01-18 00:00:00,105.133
2019-01-18 01:00:00,108.978
2019-01-18 02:00:00,104.535
2019-01-18 03:00:00,109.848
2019-01-18 04:00:00,102.124
2019-01-18 05:00:00,104.071
2019-01-18 06:00:00,112.731
2019-01-18 07:00:00,152.41
2019-01-18 08:00:00,202.649
2019-01-18 09:00:00,240.12
2019-01-18 10:00:00,268.862
2019-01-18 11:00:00,342.639
2019-01-18 12:00:00,288.543
2019-01-18 13:00:00,298.233
2019-01-18 14:00:00,297.532
2019-01-18 15:00:00,295.374
2019-01-18 16:00:00,273.328
2019-01-18 17:00:00,253.069
2019-01-18 18:00:00,221.797
2019-01-18 19:00:00,160.356
2019-01-18 20:00:00,142.911
2019-01-18 21:00:00,117.48
2019-01-18 22:00:00,109.641
2019-01-18 23:00:00,105.363
2019-01-19 00:00:00,106.896
2019-01-19 01:00:00,102.281
2019-01-19 02:00:00,102.128
2019-01-19 03:00:00,103.738
2019-01-19 04:00:00,99.617
2019-01-19 05:00:00,103.055
2019-01-19 06:00:00,99.943
